item_id	name	desc_id	plural	autosell	description	image_src
1	seal-clubbing club	868780591		"1
"	todo: description	todo: image_src
2	seal tooth	617818041	"seal teeth
"	1	todo: description	todo: image_src
3	helmet turtle	447433823		"1
"	todo: description	todo: image_src
4	turtle totem	164978098		"1
"	todo: description	todo: image_src
5	pasta spoon	249844320		"1
"	todo: description	todo: image_src
6	ravioli hat	882973843		"1
"	todo: description	todo: image_src
7	saucepan	323344201		"1
"	todo: description	todo: image_src
8	spices	266103456	"spices
"	1	todo: description	todo: image_src
9	disco mask	449052630		"1
"	todo: description	todo: image_src
10	disco ball	371973562		"1
"	todo: description	todo: image_src
11	stolen accordion	199623005		"1
"	todo: description	todo: image_src
12	mariachi pants	359318823	"pairs of mariachi pants
"	1	todo: description	todo: image_src
14	moxie weed	333987088		"100
"	todo: description	todo: image_src
15	strongness elixir	465583799		"100
"	todo: description	todo: image_src
16	magicalness-in-a-can	204936339	"magicalnesses-in-a-can
"	100	todo: description	todo: image_src
17	spicy noodles	920838455	"spicy noodles
"	35	todo: description	todo: image_src
18	tortoise's blessing	346365116		"0
"	todo: description	todo: image_src
19	asparagus knife	889193761	"asparagus knives
"	20	todo: description	todo: image_src
20	Kentucky-style derby	644460624	"Kentucky-style derbies
"	25	todo: description	todo: image_src
21	sweet ninja sword	196360308		"25
"	todo: description	todo: image_src
22	studded leather boxer shorts	683777017	"pairs of studded leather boxer shorts
"	25	todo: description	todo: image_src
23	chewing gum on a string	700733976	"chewing gums on strings
"	25	todo: description	todo: image_src
24	ten-leaf clover	370834526		"0
"	todo: description	todo: image_src
25	meat paste	207182772		"10
"	todo: description	todo: image_src
26	Dolphin King's map	539682799		"0
"	todo: description	todo: image_src
27	spider web	968009158		"3
"	todo: description	todo: image_src
28	really sticky spider web	672183606		"5
"	todo: description	todo: image_src
29	really really sticky spider web	405531390		"9
"	todo: description	todo: image_src
30	big rock	962885446		"1
"	todo: description	todo: image_src
31	seal-toothed rock	113381266		"2
"	todo: description	todo: image_src
32	Bjorn's Hammer	591526612		"0
"	todo: description	todo: image_src
33	snorkel	135595861		"15
"	todo: description	todo: image_src
34	Dolphin King's crown	402032200		"40
"	todo: description	todo: image_src
35	Knob Goblin scimitar	422743115		"20
"	todo: description	todo: image_src
36	Knob Goblin tongs	374006984	"sets of Knob Goblin tongs
"	25	todo: description	todo: image_src
37	viking helmet	444904405		"25
"	todo: description	todo: image_src
38	Knob Goblin pants	645141763	"pairs of Knob Goblin pants
"	30	todo: description	todo: image_src
39	pretty flower	436457816		"0
"	todo: description	todo: image_src
40	casino pass	733986618	"casino mooltipasses
"	50	todo: description	todo: image_src
41	ice-cold Sir Schlitz	305316771	"ice-cold Sir Schlitzen
"	30	todo: description	todo: image_src
42	hermit permit	467488422		"50
"	todo: description	todo: image_src
43	worthless trinket	134561658		"0
"	todo: description	todo: image_src
44	worthless gewgaw	727798834		"0
"	todo: description	todo: image_src
45	worthless knick-knack	561158049		"0
"	todo: description	todo: image_src
46	wooden figurine	520591514		"25
"	todo: description	todo: image_src
47	hot buttered roll	424947000		"25
"	todo: description	todo: image_src
48	heart of rock and roll	855972490	"hearts of rock and roll
"	101	todo: description	todo: image_src
49	bowl of cottage cheese	721301736	"bowls of cottage cheese
"	31	todo: description	todo: image_src
50	Rock and Roll Legend	275331264		"0
"	todo: description	todo: image_src
51	Knob Goblin Uberpants	555557301	"pairs of Knob Goblin Uberpants
"	60	todo: description	todo: image_src
52	banjo strings	546702280	"sets of banjo strings
"	25	todo: description	todo: image_src
53	stone banjo	232520882		"30
"	todo: description	todo: image_src
54	Disco Banjo	244279521		"0
"	todo: description	todo: image_src
55	jaba&ntilde;ero pepper	189906805		"25
"	todo: description	todo: image_src
56	heavy hot sauce	915847243		"101
"	todo: description	todo: image_src
57	5-Alarm Saucepan	695837819		"0
"	todo: description	todo: image_src
58	stone turtle	273862210		"3
"	todo: description	todo: image_src
59	slingshot	278594504		"75
"	todo: description	todo: image_src
60	Mace of the Tortoise	256792195	"Maces of the Tortoise
"	0	todo: description	todo: image_src
61	fortune cookie	490489381		"20
"	todo: description	todo: image_src
62	oriole-feather headdress	499720505	"oriole-feather headdresses
"	0	todo: description	todo: image_src
63	action figure body	329267145		"0
"	todo: description	todo: image_src
64	action figure head	224701221		"0
"	todo: description	todo: image_src
65	Mighty Bjorn action figure	390564890		"0
"	todo: description	todo: image_src
66	golden twig	244181505		"0
"	todo: description	todo: image_src
67	spaghetti with rock-balls	192265650	"spaghettis with rock-balls
"	2	todo: description	todo: image_src
68	Pasta Spoon of Peril	942969095	"Pasta Spoons of Peril
"	0	todo: description	todo: image_src
69	Newbiesport&trade; tent	564164501		"20
"	todo: description	todo: image_src
70	bar skin	757174348		"5
"	todo: description	todo: image_src
71	wooden stakes	449563853	"sets of wooden stakes
"	30	todo: description	todo: image_src
72	barskin hat	435786424		"60
"	todo: description	todo: image_src
73	barskin tent	643891681		"9
"	todo: description	todo: image_src
74	Spooky Temple map	525549764		"0
"	todo: description	todo: image_src
75	spooky sapling	462893050		"0
"	todo: description	todo: image_src
76	Spooky-Gro fertilizer	991217692		"6
"	todo: description	todo: image_src
77	spooky stick	943176401		"35
"	todo: description	todo: image_src
78	pretty bouquet	547934955		"2
"	todo: description	todo: image_src
79	bugbear bungguard	426478400		"35
"	todo: description	todo: image_src
80	fairy gravy boat	903885205		"5
"	todo: description	todo: image_src
81	ice-cold Willer	819157879		"30
"	todo: description	todo: image_src
82	rusty metal ring	970490171		"4
"	todo: description	todo: image_src
83	rusty metal shaft	228339790		"5
"	todo: description	todo: image_src
84	Orcish meat locker	221122907		"5
"	todo: description	todo: image_src
85	unlocked meat locker	343964219		"0
"	todo: description	todo: image_src
86	rusty metal key	518345878		"8
"	todo: description	todo: image_src
87	meat from yesterday	653772183	"meats from yesterday
"	5	todo: description	todo: image_src
88	meat stack	814092432		"100
"	todo: description	todo: image_src
89	sword hilt	579389111		"50
"	todo: description	todo: image_src
90	helmet recipe	765274533		"50
"	todo: description	todo: image_src
91	pants kit	354259446		"50
"	todo: description	todo: image_src
92	meatsmithing guide	111365331		"25
"	todo: description	todo: image_src
93	basic meat sword	156350201		"25
"	todo: description	todo: image_src
94	basic meat pants	606216746	"pairs of basic meat pants
"	140	todo: description	todo: image_src
95	basic meat helmet	198198975		"140
"	todo: description	todo: image_src
96	dope gangsta bling-bling	389032855	"units of bling
"	60	todo: description	todo: image_src
97	pimpin' meat hat	790979082		"155
"	todo: description	todo: image_src
98	dried face	230683176		"7
"	todo: description	todo: image_src
99	meat face	195455417		"11
"	todo: description	todo: image_src
100	lifeless meat doll	466597998		"108
"	todo: description	todo: image_src
101	meat golem	961351990		"200
"	todo: description	todo: image_src
102	spooky shrunken head	449394262		"6
"	todo: description	todo: image_src
103	spooky staff	258271045	"spooky staves
"	50	todo: description	todo: image_src
104	spooky scarecrow	238593881		"55
"	todo: description	todo: image_src
105	bowl of lucky charms	402063497	"bowls of lucky charms
"	35	todo: description	todo: image_src
106	ketchup	926741886	"bottles of ketchup
"	25	todo: description	todo: image_src
107	catsup	392712771	"bottles of catsup
"	25	todo: description	todo: image_src
108	big stick	908197047		"50
"	todo: description	todo: image_src
109	crossbow string	185370953		"50
"	todo: description	todo: image_src
110	basic meat staff	871109805	"basic meat staves
"	25	todo: description	todo: image_src
111	basic meat crossbow	924348153		"25
"	todo: description	todo: image_src
112	meatloaf helmet	750234288		"175
"	todo: description	todo: image_src
113	dripping meat sword	927483696		"55
"	todo: description	todo: image_src
114	dripping meat staff	370429104	"dripping meat staves
"	55	todo: description	todo: image_src
115	dripping meat crossbow	650388175		"55
"	todo: description	todo: image_src
116	Bugfinder Blade	606633733		"0
"	todo: description	todo: image_src
117	Gnollish plunger	342452294		"40
"	todo: description	todo: image_src
118	spring	743748200		"10
"	todo: description	todo: image_src
119	sprocket	879299952		"10
"	todo: description	todo: image_src
120	cog	157680394		"10
"	todo: description	todo: image_src
121	sprocket assembly	362582736	"sprocket assemblies
"	17	todo: description	todo: image_src
122	cog and sprocket assembly	524880668	"cog and sprocket assemblies
"	25	todo: description	todo: image_src
123	Gnollish flyswatter	476380355		"40
"	todo: description	todo: image_src
124	empty meat tank	767026505		"10
"	todo: description	todo: image_src
125	full meat tank	175722264		"108
"	todo: description	todo: image_src
126	meat engine	465274324		"124
"	todo: description	todo: image_src
127	Gnollish autoplunger	792002723		"160
"	todo: description	todo: image_src
128	sticky meat pants	752035846	"pairs of sticky meat pants
"	145	todo: description	todo: image_src
129	third-hand nunchaku	546223279	"third-hand nunchaku
"	35	todo: description	todo: image_src
130	enchanted eyepatch	548096889	"enchanted eyepatches
"	60	todo: description	todo: image_src
131	frilly skirt	805801465		"40
"	todo: description	todo: image_src
132	Meat maid body	185286006	"Meat maid bodies
"	155	todo: description	todo: image_src
133	Certificate of Participation	579075005		"0
"	todo: description	todo: image_src
134	bitchin' meatcar	405409225		"0
"	todo: description	todo: image_src
135	sweet rims	634800641	"sets of sweet rims
"	45	todo: description	todo: image_src
136	tires	805641198	"sets of tires
"	14	todo: description	todo: image_src
137	dope wheels	281577974	"sets of dope wheels
"	63	todo: description	todo: image_src
138	ice-cold six-pack	595204142		"150
"	todo: description	todo: image_src
139	valuable trinket	597006028		"250
"	todo: description	todo: image_src
140	dingy planks	807926826	"stacks of dingy planks
"	45	todo: description	todo: image_src
141	dingy dinghy	181137676		"0
"	todo: description	todo: image_src
142	anticheese	293685778		"30
"	todo: description	todo: image_src
143	cottage	464852326		"50
"	todo: description	todo: image_src
144	stone of eXtreme power	376860845	"stones of eXtreme power
"	30	todo: description	todo: image_src
145	barbed-wire fence	858596394		"31
"	todo: description	todo: image_src
146	dinghy plans	642515521		"0
"	todo: description	todo: image_src
147	eXtreme meat sword	465841131		"160
"	todo: description	todo: image_src
148	eXtreme meat staff	885693427	"eXtreme meat staves
"	160	todo: description	todo: image_src
149	eXtreme meat crossbow	274998600		"160
"	todo: description	todo: image_src
150	Scalp of Gorgolok	889496681	"Scalps of Gorgolok
"	0	todo: description	todo: image_src
151	Elder Turtle Shell	602920283		"0
"	todo: description	todo: image_src
152	Colander of Em-er'il	135642556	"Colanders of Em-er'il
"	0	todo: description	todo: image_src
153	Ancient Saucehelm	225252938		"0
"	todo: description	todo: image_src
154	Disco 'Fro Pick	674402305		"0
"	todo: description	todo: image_src
155	El Sombrero De Lopez	156097981	"Los Sombreros De Lopezes
"	0	todo: description	todo: image_src
156	guild application	382799349		"0
"	todo: description	todo: image_src
157	Dramatic&trade; range	300557156		"250
"	todo: description	todo: image_src
158	Gnollish pie tin	213655637		"10
"	todo: description	todo: image_src
159	wad of dough	288162100	"wads of dough
"	15	todo: description	todo: image_src
160	pie crust	601030110		"35
"	todo: description	todo: image_src
161	ghuol egg	806730322		"16
"	todo: description	todo: image_src
162	ghuol egg quiche	480094541		"46
"	todo: description	todo: image_src
163	skeleton bone	247485062		"35
"	todo: description	todo: image_src
164	smart skull	962644297		"20
"	todo: description	todo: image_src
